"","EMTP","EMSECSM","WAPRSM3","WASCSM3","RACETHM","EMST_TOGA","SEX_2023","DGRDG","HDADV","HDCAR","HDCHG","HDEM","HDGRD","HDINT","HDOT","HDSKL","NDGMENG","NDGMEMG","HDCRN21C","EDDAD","EDMOM","N2DGRMED","FACADV","FACBEN","FACCHAL","FACIND","FACLOC","FACRESP","FACSAL","FACSEC","FACSOC","N3OCPRNG","N2OCPRMG","Years_To_First_Job","AGE","WKSWK","HRSWK","SALARY"
"74","10","3","3","3","5","91","M","1","L","L","L","L","L","L","L","L","71","7","15","2","3","716530","1","2","1","1","3","3","2","2","1","72","7","3",31,52,50,68000
"75","10","3","4","1","7","92","M","1","L","L","L","L","L","L","L","L","54","5","18","4","5","547270","2","1","2","1","2","2","1","2","2","11","1","0",33,52,40,196560
"76","12","3","4","1","5","91","M","1","L","L","L","L","L","L","L","L","11","1","15","3","5","116730","1","1","1","1","1","3","1","1","3","11","1","1",25,52,40,59000
"77","10","3","1","1","5","98","M","2","L","L","L","L","L","L","L","L","32","3","15","3","3","328760","1","1","1","1","1","2","1","1","2","31","3","8",34,52,40,89000
"78","10","3","6","2","5","93","F","2","L","L","L","L","L","L","L","L","43","4","17","2","2","438920","2","1","2","2","2","2","1","2","1","43","4","7",30,52,32,65000
"79","16","2","2","7","4","91","F","1","L","L","L","L","L","L","L","L","53","5","M","1","1","537260","2","2","2","2","2","2","2","2","2","57","5","4",29,52,28,25000
"80","10","3","1","4","5","91","F","2","L","L","L","L","L","L","L","L","55","5","15","4","6","557330","2","2","1","1","1","2","3","2","2","11","1","8",32,52,40,120000
"81","03","1","3","3","5","87","F","3","L","L","L","L","L","L","L","L","52","5","15","4","2","527250","2","2","1","1","2","1","1","2","1","58","5","6",33,40,50,104
"82","10","3","4","5","4","98","M","1","L","L","L","L","L","L","L","L","45","4","15","3","3","459240","2","1","1","1","3","2","1","1","4","11","1","4",29,52,40,142000
"83","11","3","6","7","5","91","F","1","L","L","L","L","L","L","L","L","43","4","15","2","2","438940","2","1","1","2","2","2","1","1","2","43","4","2",31,52,39,40000
"84","05","1","1","1","5","98","M","3","L","L","L","L","L","L","L","L","54","5","15","4","4","547280","2","1","2","2","1","3","1","1","2","33","3","5",31,52,40,155000
"85","10","3","6","3","5","85","F","1","L","L","L","L","L","L","L","L","31","3","21","4","4","318730","2","1","2","2","1","2","2","1","2","22","2","1",26,52,40,68640
"86","10","3","5","1","5","88","M","2","L","L","L","L","L","L","L","L","11","1","15","5","5","116770","1","1","1","2","2","1","1","1","2","11","1","8",30,52,40,149000
"87","10","3","5","1","5","93","F","2","L","L","L","L","L","L","L","L","51","5","15","2","4","517210","1","2","1","1","1","1","2","2","1","51","5","3",25,52,50,113000
"88","10","3","1","1","5","97","M","3","L","L","L","L","L","L","L","L","52","5","L","7","4","527250","1","1","2","1","1","2","1","1","1","52","5","4",28,52,40,103000
"89","10","3","3","1","5","91","M","1","L","L","L","L","L","L","L","L","56","5","15","4","4","567350","2","1","2","2","1","2","1","1","3","57","5","5",34,52,40,130000
"90","10","3","5","4","1","85","F","2","L","L","L","L","L","L","L","L","11","1","15","3","4","116730","2","1","2","2","2","2","1","1","2","11","1","5",28,52,40,161000
"91","10","3","4","1","5","87","M","1","L","L","L","L","L","L","L","L","54","5","15","5","4","547270","1","2","1","1","2","2","1","2","2","11","1","4",30,52,40,150000
"92","01","1","2","7","4","98","F","2","L","L","L","L","L","L","L","L","72","7","15","4","5","727110","1","1","1","1","1","2","1","1","2","73","7","7",33,44,60,56000
"93","10","3","4","7","5","87","F","1","L","L","L","L","L","L","L","L","11","1","15","4","5","116730","1","1","1","2","1","2","1","1","3","11","1","2",23,52,40,130000
"94","10","3","3","5","5","88","F","2","L","L","L","L","L","L","L","L","76","7","15","3","3","766610","1","1","1","2","1","2","1","1","2","72","7","6",26,52,40,56000
"95","01","1","2","3","4","91","F","2","Y","Y","Y","N","Y","Y","N","Y","72","7","15","3","3","727030","1","1","1","1","1","1","2","1","1","73","7","10",35,44,32,10000
"96","11","3","6","7","5","85","F","2","L","L","L","L","L","L","L","L","61","6","15","2","4","617870","1","1","1","1","1","1","1","1","1","61","6","6",31,52,30,70000
"97","11","3","1","4","1","85","M","1","L","L","L","L","L","L","L","L","33","3","15","5","5","338780","1","1","1","2","2","2","1","1","1","32","3","0",24,52,60,50000
"98","11","3","1","6","5","98","F","2","L","L","L","L","L","L","L","L","61","6","18","3","3","617890","2","1","1","1","1","1","1","1","1","75","7","4",24,52,20,15000
"99","10","3","4","2","1","93","F","2","L","L","L","L","L","L","L","L","53","5","15","4","3","537260","2","1","1","1","2","2","1","2","1","11","1","9",32,52,40,215000
"100","16","2","6","7","4","87","F","1","L","L","L","L","L","L","L","L","22","2","15","4","5","226340","2","1","2","2","2","2","1","1","2","78","7","0",23,52,45,68000
"101","10","3","4","5","4","93","M","1","L","L","L","L","L","L","L","L","11","1","18","1","1","116730","1","1","1","1","1","2","1","1","2","11","1","5",27,52,40,155000
"102","10","3","3","5","5","92","F","2","Y","Y","N","N","N","N","N","Y","76","7","15","3","3","768100","1","1","2","2","1","2","1","1","2","11","1","4",27,52,40,150000
"103","11","3","6","7","5","88","F","1","L","L","L","L","L","L","L","L","61","6","26","3","3","617910","2","1","1","1","1","1","1","1","1","61","6","0",25,52,36,61000
"104","10","3","5","7","1","93","F","2","L","L","L","L","L","L","L","L","22","2","15","5","4","226420","2","2","2","2","1","1","2","1","2","57","5","7",27,52,50,100000
"105","10","3","4","1","1","87","M","1","L","L","L","L","L","L","L","L","11","1","15","5","4","116730","1","1","1","1","1","1","1","1","3","11","1","0",25,52,40,101000
"106","01","1","2","1","4","91","F","1","L","L","L","L","L","L","L","L","61","6","18","2","2","617810","1","1","1","1","2","1","1","1","1","63","6","3",28,1,40,50000
"107","15","2","1","3","5","93","F","2","L","L","L","L","L","L","L","L","22","2","18","3","4","226350","1","1","1","1","1","1","1","1","1","22","2","9",34,52,40,60000
"108","10","3","3","2","5","97","M","2","L","L","L","L","L","L","L","L","71","7","M","4","6","716530","1","2","1","1","2","2","2","2","1","11","1","9",32,52,55,145000
"109","03","1","1","1","1","87","M","2","L","L","L","L","L","L","L","L","57","5","15","3","3","577340","1","1","1","2","2","1","1","1","2","64","6","3",23,52,40,31000
"110","10","3","1","4","1","93","M","2","L","L","L","L","L","L","L","L","11","1","15","4","4","116730","2","1","2","2","2","2","2","2","3","64","6","6",33,52,50,253000
"111","13","3","4","7","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","3","3","547280","1","1","1","1","1","1","1","1","1","54","5","2",28,52,40,210000
"112","10","3","4","7","1","93","M","2","L","L","L","L","L","L","L","L","11","1","15","4","4","116730","1","1","1","1","1","1","1","1","1","11","1","4",32,52,40,190000
"113","03","1","4","6","5","87","M","1","L","L","L","L","L","L","L","L","11","1","15","4","4","116760","2","1","1","1","1","1","2","2","2","11","1","3",32,52,45,70000
"114","10","3","4","1","1","93","M","1","L","L","L","L","L","L","L","L","11","1","18","2","3","116730","1","1","2","2","1","3","1","1","1","11","1","2",35,52,40,75000
"115","01","1","2","1","4","88","M","2","L","L","L","L","L","L","L","L","72","7","17","4","6","727100","2","1","2","1","2","2","1","1","1","73","7","4",26,52,50,41000
"116","05","1","1","1","1","87","F","2","L","L","L","L","L","L","L","L","22","2","L","3","2","226370","1","1","1","1","1","1","1","1","2","21","2","8",29,52,40,28000
"117","11","3","6","3","4","92","F","2","L","L","L","L","L","L","L","L","73","7","16","4","3","739100","3","2","1","1","2","1","1","1","1","61","6","7",28,52,12,33000
"118","01","1","3","6","1","93","F","2","L","L","L","L","L","L","L","L","72","7","17","3","3","727030","2","1","1","2","2","2","2","1","1","75","7","5",34,40,40,105000
"119","05","1","6","1","1","88","F","1","L","L","L","L","L","L","L","L","73","7","15","8","8","739100","1","1","1","1","1","1","1","1","1","75","7","5",34,52,40,43000
"120","14","2","5","4","1","93","M","1","L","L","L","L","L","L","L","L","54","5","15","2","2","547280","1","1","2","2","1","2","1","1","1","11","1","3",29,52,40,140000
"121","01","1","2","3","3","98","F","2","Y","Y","N","Y","Y","N","N","Y","72","7","15","5","5","727100","2","1","1","2","2","2","1","1","1","63","6","0",25,40,40,75000
"122","04","1","2","4","1","85","F","3","L","L","L","L","L","L","L","L","22","2","15","4","5","226360","2","1","1","1","2","2","1","2","1","18","1","5",25,52,55,125000
"123","10","3","5","3","4","91","F","1","L","L","L","L","L","L","L","L","56","5","15","2","1","567350","2","1","2","1","1","2","1","1","1","53","5","4",27,52,45,80000
"124","01","1","2","3","4","91","M","1","L","L","L","L","L","L","L","L","53","5","15","1","2","537230","1","1","2","1","2","1","1","1","1","63","6","3",24,44,50,62000
"125","10","3","1","6","5","98","M","1","L","L","L","L","L","L","L","L","54","5","15","7","4","547280","4","2","3","2","1","2","1","1","3","64","6","3",33,52,40,70000
"126","03","1","2","1","4","91","M","3","L","L","L","L","L","L","L","L","12","1","15","5","3","128420","1","1","1","1","1","1","1","1","1","18","1","7",32,44,40,45000
"127","05","1","1","4","5","87","F","2","L","L","L","L","L","L","L","L","57","5","15","4","5","577240","3","4","1","2","1","3","3","2","1","57","5","0",24,52,40,32000
"128","01","1","2","3","5","90","F","2","L","L","L","L","L","L","L","L","72","7","17","2","5","727010","1","1","1","1","1","1","1","1","1","73","7","2",35,52,70,65000
"129","10","3","1","3","4","93","M","2","L","L","L","L","L","L","L","L","32","3","16","4","7","328760","2","1","2","2","1","3","2","1","2","32","3","5",28,52,40,72000
"130","17","2","6","1","3","92","M","2","L","L","L","L","L","L","L","L","32","3","15","5","7","328740","1","1","1","1","1","1","1","1","1","31","3","8",32,52,40,130000
"131","11","3","6","5","3","98","F","1","L","L","L","L","L","L","L","L","61","6","15","1","3","617840","2","2","2","1","2","2","1","1","1","61","6","0",33,52,39,60000
"132","01","1","6","1","4","87","M","2","L","L","L","L","L","L","L","L","72","7","17","3","3","727030","2","1","2","2","2","2","2","1","1","75","7","4",25,52,40,40000
"133","10","3","1","1","5","85","F","1","L","L","L","L","L","L","L","L","23","2","18","7","7","236800","1","1","2","2","2","1","1","1","2","57","5","4",26,52,40,67000
"134","10","3","3","5","5","98","F","1","L","L","L","L","L","L","L","L","31","3","22","3","2","318730","2","1","2","2","2","2","1","1","3","22","2","0",33,52,50,80000
"135","04","1","6","1","1","88","F","4","L","L","L","L","L","L","L","L","61","6","15","7","4","617860","1","1","2","2","2","2","1","1","2","61","6","6",31,52,65,66222
"136","10","3","5","4","5","91","M","1","L","L","L","L","L","L","L","L","11","1","L","5","5","116730","1","1","1","1","1","1","1","1","1","57","5","4",35,52,40,245000
"137","10","3","5","3","5","90","M","1","L","L","L","L","L","L","L","L","56","5","16","4","4","567350","1","1","2","1","1","2","1","1","2","56","5","0",29,52,40,100000
"138","10","3","4","7","1","93","M","2","L","L","L","L","L","L","L","L","54","5","15","2","2","547270","2","2","2","2","2","2","2","2","2","11","1","5",34,52,8,160000
"139","10","3","3","3","5","93","M","2","L","L","L","L","L","L","L","L","71","7","15","4","3","716530","1","1","1","1","1","1","1","1","1","64","6","7",27,52,40,166000
"140","10","3","4","3","4","98","M","1","L","L","L","L","L","L","L","L","45","4","15","4","4","459300","3","2","2","1","1","3","2","2","2","12","1","0",22,52,40,67000
"141","10","3","5","3","5","97","M","1","L","L","L","L","L","L","L","L","57","5","M","2","3","577410","1","1","2","1","1","1","1","1","2","54","5","0",28,52,45,62000
"142","03","1","1","1","5","93","M","3","L","L","L","L","L","L","L","L","22","2","15","4","2","226370","2","1","3","1","1","3","1","2","2","22","2","10",35,52,40,74000
"143","11","3","4","1","1","93","M","1","L","L","L","L","L","L","L","L","11","1","L","4","4","116730","1","1","1","1","1","1","1","1","1","12","1","2",25,52,40,108000
"144","13","3","1","3","3","91","M","2","L","L","L","L","L","L","L","L","43","4","17","3","3","438950","1","1","1","1","3","1","1","1","2","43","4","9",32,52,40,128000
"145","14","2","6","7","5","92","F","2","L","L","L","L","L","L","L","L","73","7","17","1","5","739100","1","1","2","1","1","2","1","1","2","75","7","7",31,52,40,60000
"146","10","3","1","1","4","98","M","2","L","L","L","L","L","L","L","L","52","5","15","6","6","527250","1","1","1","1","1","1","1","1","1","22","2","8",32,52,40,117000
"147","11","3","6","1","5","92","M","3","L","L","L","L","L","L","L","L","61","6","15","4","4","617890","1","1","2","2","1","2","1","1","2","61","6","5",28,52,40,80000
"148","17","2","3","3","5","88","M","2","L","L","L","L","L","L","L","L","56","5","16","4","4","567350","1","1","1","1","1","1","1","1","1","56","5","9",31,52,40,119000
"149","10","3","4","7","5","87","M","1","L","L","L","L","L","L","L","L","41","4","16","7","4","419230","2","2","1","1","2","2","2","2","1","11","1","3",34,52,40,85000
"150","10","3","5","6","5","93","F","1","L","L","L","L","L","L","L","L","56","5","18","4","5","567350","1","2","1","1","2","1","2","1","1","56","5","4",30,52,40,98000
"151","10","3","1","3","5","97","F","1","L","L","L","L","L","L","L","L","52","5","15","4","4","527250","1","2","2","2","1","3","1","2","3","52","5","5",28,52,42,95000
"152","10","3","1","7","1","97","F","1","L","L","L","L","L","L","L","L","11","1","L","4","3","116710","1","1","1","2","2","2","1","1","2","11","1","4",24,52,40,60000
"153","10","3","1","1","4","85","M","1","L","L","L","L","L","L","L","L","54","5","15","4","5","547280","1","1","1","1","1","2","2","1","2","54","5","2",30,52,40,95000
"154","10","3","5","3","1","93","F","2","L","L","L","L","L","L","L","L","56","5","18","5","4","567350","1","1","2","1","2","1","1","1","1","56","5","8",29,52,40,139920
"155","10","3","4","6","5","91","M","1","L","L","L","L","L","L","L","L","71","7","18","2","3","716590","1","1","1","1","2","1","1","1","1","11","1","1",30,52,45,102000
"156","10","3","3","3","7","87","M","1","L","L","L","L","L","L","L","L","56","5","15","5","7","567350","1","2","2","1","2","1","1","1","2","62","6","5",30,52,45,120000
"157","10","3","4","5","1","93","M","2","L","L","L","L","L","L","L","L","11","1","15","7","7","116730","1","2","1","3","1","3","1","2","1","11","1","0",32,52,40,221000
"158","10","3","6","3","5","92","M","2","L","L","L","L","L","L","L","L","53","5","15","4","3","537260","2","1","3","2","2","3","1","2","3","53","5","1",26,52,40,85000
"159","10","3","4","6","5","92","M","1","L","L","L","L","L","L","L","L","11","1","15","8","8","116730","2","1","2","1","2","2","1","2","3","64","6","1",26,52,40,120000
"160","11","3","6","1","3","98","F","4","L","L","L","L","L","L","L","L","61","6","18","2","2","617880","1","1","2","2","2","1","1","1","2","78","7","10",31,52,40,165000
"161","10","3","4","5","5","87","F","1","L","L","L","L","L","L","L","L","31","3","18","3","4","318730","3","1","2","2","2","3","1","1","1","12","1","5",29,52,40,95000
"162","15","2","1","5","5","98","F","2","L","L","L","L","L","L","L","L","61","6","M","2","3","617900","2","1","1","2","2","2","1","2","2","22","2","10",33,52,40,78000
"163","10","3","6","3","7","91","M","1","L","L","L","L","L","L","L","L","56","5","15","2","3","567350","2","1","1","3","1","4","1","1","3","56","5","5",31,52,45,90000
"164","10","3","3","6","5","88","F","4","L","L","L","L","L","L","L","L","61","6","15","4","4","617880","2","1","1","1","1","2","2","1","2","61","6","6",25,52,40,130000
"165","01","1","2","3","5","88","F","2","L","L","L","L","L","L","L","L","72","7","22","3","3","727010","3","2","3","3","1","3","2","2","3","63","6","6",32,36,36,48000
"166","10","3","3","3","5","87","M","1","L","L","L","L","L","L","L","L","42","4","15","4","4","429280","2","1","2","1","2","3","1","2","3","71","7","4",25,52,50,60000
